ID|Substrates|Products
R02055|['Phosphatidylserine']|['Phosphatidylethanolamine']
R00842|['sn-Glycerol 3-phosphate', 'NAD+']|['Glycerone phosphate', 'NADH']
R03596|['Hydrogen selenide', '3 NADP+', '3 H2O']|['Selenite', '3 NADPH', '5 H+']
R09372|['2 NADPH', '2 H+', 'Methylselenic acid']|['2 NADP+', '2 H2O', 'Methaneselenol']
R01567|['ATP', 'Thymidine']|['ADP', 'dTMP']
R02099|['ATP', 'Deoxyuridine']|['ADP', 'dUMP']
R08233|['5-Fluorodeoxyuridine', 'ATP']|['5-Fluorodeoxyuridine monophosphate', 'ADP']
R02101|['dUMP', '5,10-Methylenetetrahydrofolate']|['Dihydrofolate', 'dTMP']
R01827|['Sedoheptulose 7-phosphate', 'D-Glyceraldehyde 3-phosphate']|['D-Erythrose 4-phosphate', 'beta-D-Fructose 6-phosphate']
R00966|['UMP', 'Diphosphate']|['Uracil', '5-Phospho-alpha-D-ribose 1-diphosphate']
R00289|['UTP', 'D-Glucose 1-phosphate']|['Diphosphate', 'UDP-glucose']
R00156|['ATP', 'UDP']|['ADP', 'UTP']
R00570|['ATP', 'CDP']|['ADP', 'CTP']
R02093|['ATP', 'dTDP']|['ADP', 'dTTP']
R02326|['ATP', 'dCDP']|['ADP', 'dCTP']
R02331|['ATP', 'dUDP']|['ADP', 'dUTP']
R02738|['Protein N(pi)-phospho-L-histidine', 'D-Glucose']|['Protein histidine', 'alpha-D-Glucose 6-phosphate']
R00192|['S-Adenosyl-L-homocysteine']|['Adenosine', 'L-Homocysteine']
